gene,CerD1,CerD2,CerD3,CerW1,CerW2,CerW3,CocD1,CocD2,CocD3,CocW1,CocW2,CocW3,NigD1,NigD2,NigD3,NigW1,NigW2,NigW3,PenD1,PenD2,PenD3,PenW1,PenW2,PenW3,SorD1,SorD2,SorD3,SorW1,SorW2,SorW3
PhHAL.5G045800,-0.064813126,-0.420921232,0.315195503,0.388169313,0.690058973,-0.175500371,-0.393254242,-0.927696358,-0.414016533,0.119852006,0.091501709,-0.114437446,-0.848763439,-0.396283604,-0.185644631,-0.23785488,-0.480235403,-0.077738673,-0.190344568,-0.448359648,0.395823989,-0.456595012,0.049762534,-0.663648233,-0.814941458,-1.293533325,-0.357443832,0.09699343,-0.084724007,0.005977263
PhHAL.1G419500,-0.473801192,-0.942289068,0.476375868,-1.034669426,1.090521603,-1.141077809,1.622303768,1.306327455,1.534165369,1.481075405,1.256852524,1.068034909,-1.889951679,-6.995721933,0.902752485,0.069021209,-0.105656143,0.018251205,0.227391655,0.098704174,0.80396119,-1.954485625,-1.215560628,-7.699308701,1.609090716,2.06002144,1.903054773,1.087451,0.762825438,0.527503248
PhHAL.5G147400,0.300322751,-0.487488836,-0.165077011,-1.676786696,-0.752727369,-1.300215939,1.388018539,0.225443883,0.380291602,-0.315100482,0.28864494,-1.081919958,-0.638733705,-1.79492319,0.58165337,-1.884141711,-1.201259549,-1.081856674,0.622232614,-0.226944609,-0.207817475,-1.594837225,-0.61947032,-2.855718004,0.2548609,1.614143188,1.122269847,-0.23808804,-0.732472296,-0.282236831
PhHAL.1G001400,1.1536773,0.531390519,1.565131448,0.748446176,-0.665758369,-0.577030651,1.139520716,0.267619042,0.067564924,0.022511888,0.161993529,-1.002216686,-0.79087142,-1.987898777,-0.24958932,-1.698770317,-1.608626553,-1.857898734,1.133117881,-0.067945305,-0.191596387,-2.514302535,-0.716301408,1.407785958,0.119295543,1.335680206,1.540512426,1.015784211,0.441237706,0.630855609
PhHAL.4G029700,-0.519903986,0.047571623,-0.540400128,-2.678088073,-2.379709383,-2.15959038,-0.159260612,1.104204433,0.643786454,0.716473838,-0.836377286,-0.122956523,0.974690568,-0.102787306,-0.174753308,-0.588437762,-1.083798969,-1.250491178,-0.958889563,-0.221991667,0.371818207,0.755018664,1.477089987,-3.723202485,2.321398065,-2.239543057,3.646202117,0.254819205,0.021625972,0.246353264
PhHAL.9G216600,0.401345553,0.080459362,0.990326203,0.66150679,1.456557378,0.133043843,0.977844139,0.337024958,0.409510934,-0.278767218,0.048993182,-0.00922199,0.125661263,-0.988816749,0.738192711,-0.510302171,-0.342475898,0.313772435,1.471226301,0.85215849,1.676987212,-0.555197866,0.704599692,-2.555832512,0.365320378,1.056576337,1.600096512,0.322084458,-0.34013528,-0.010479396
PhHAL.8G232200,0.508397098,-0.014869714,0.934179592,0.633512963,-0.799102903,-0.244205547,1.112724294,1.24003377,1.185613597,0.021660666,-0.453755734,0.058115264,0.780436385,-0.619268743,-0.557805753,-0.796160641,-0.136685562,-0.560055928,0.47195273,0.38275669,-1.152206721,-0.733746114,0.062512205,-2.718072967,1.218490672,2.191308323,2.175822509,0.551799512,0.40936717,0.330996644
PhHAL.8G232300,0.41567258,0.282706073,0.588746825,-0.142640111,0.170302169,-0.08772708,3.02791724,0.472472132,1.307566222,2.172853434,1.507009461,1.183159425,-0.047836974,0.259354986,-1.203304025,0.268276144,-0.299871517,-1.182629567,0.344293368,0.341727977,0.541569378,-0.513016238,0.457431953,-2.914308107,0.840821049,0.653787006,2.029321112,0.927363162,0.399979477,0.641544851
PhHAL.8G047600,0.280460095,0.382655038,0.873945621,0.711243731,-0.194307409,-0.081944383,1.342422717,-0.363984706,0.91538721,0.77069896,0.90202486,-0.017817288,0.040523051,0.29376178,0.181515293,-0.318597144,0.452291109,0.509523115,0.020981662,0.470193447,0.577405754,-1.277345195,-0.808224809,-1.95988883,1.173784867,1.364300339,1.191821139,0.036199776,0.108696001,-0.135866443
PhHAL.7G334200,0.742671743,-0.120373433,0.98764847,1.097186127,0.593106997,-0.222885948,1.892511415,1.226930196,0.68465127,1.574463719,1.307977271,0.499783049,-0.124840695,-0.309028659,0.939275184,-0.966918934,-0.86777326,-1.010586606,0.717658491,-0.377993259,0.402481822,-0.667015862,-0.133197785,-1.667722609,0.951421054,2.092239444,1.966082109,1.272596392,0.985784597,0.959538688
